,localidade,rede,ideb_2015,ideb_2017,ideb_2019,ideb_2021,ideb_2023,meta_2015,meta_2017,meta_2019,meta_2021,anos,cod,6_ao_9_ano,1_ao_5_ano,ensino_médio
3263,Ribeira,Pública,4.7,4.5,5.8,5.9,5.3,"5,7","5,9","6,2","6,4",6º ao 9º ano,3542800.0,True,False,False
3267,Ribeirão Bonito,Municipal,4.5,4.5,4.5,4.6,4.2,"4,3","4,6","4,8","5,1",6º ao 9º ano,3542909.0,True,False,False
3268,Ribeirão Bonito,Municipal,5.6,6.1,6.0,5.8,5.8,"5,3","5,5","5,8","6,1",1º ao 5º ano,3542909.0,False,True,False
3269,Ribeirão Bonito,Pública,5.6,6.1,6.0,5.8,5.8,"5,3","5,5","5,8","6,1",1º ao 5º ano,3542909.0,False,True,False
3270,Ribeirão Bonito,Pública,4.5,4.5,4.5,4.6,4.2,"4,3","4,6","4,9","5,1",6º ao 9º ano,3542909.0,True,False,False
3273,Ribeirão Branco,Estadual,4.9,5.2,6.0,5.5,5.4,"5,1","5,4","5,6","5,9",6º ao 9º ano,3543006.0,True,False,False
3274,Ribeirão Branco,Municipal,6.7,6.9,6.9,6.2,6.8,"5,5","5,8","6,1","6,3",1º ao 5º ano,3543006.0,False,True,False
3275,Ribeirão Branco,Pública,6.7,6.9,6.9,6.2,6.8,"5,5","5,8","6,1","6,3",1º ao 5º ano,3543006.0,False,True,False
3276,Ribeirão Branco,Pública,4.9,5.2,6.0,5.5,5.4,"5,1","5,4","5,6","5,9",6º ao 9º ano,3543006.0,True,False,False
3279,Ribeirão Corrente,Municipal,4.9,5.1,5.1,5.4,5.6,"4,7",5,"5,2","5,5",6º ao 9º ano,3543105.0,True,False,False
3280,Ribeirão Corrente,Municipal,5.8,6.5,6.6,5.9,6.4,"5,1","5,3","5,6","5,9",1º ao 5º ano,3543105.0,False,True,False
3281,Ribeirão Corrente,Pública,5.8,6.5,6.6,5.9,6.4,"5,1","5,3","5,6","5,9",1º ao 5º ano,3543105.0,False,True,False
3282,Ribeirão Corrente,Pública,4.9,5.1,5.1,5.4,5.6,"4,7",5,"5,2","5,5",6º ao 9º ano,3543105.0,True,False,False
3285,Ribeirão do Sul,Estadual,4.8,4.9,5.3,5.6,5.2,"6,1","6,3","6,5","6,7",6º ao 9º ano,3543204.0,True,False,False
3286,Ribeirão do Sul,Municipal,6.4,6.9,6.7,6.2,6.4,"6,4","6,6","6,8",7,1º ao 5º ano,3543204.0,False,True,False
3287,Ribeirão do Sul,Pública,6.4,6.9,6.7,6.2,6.4,"6,4","6,6","6,8",7,1º ao 5º ano,3543204.0,False,True,False
3288,Ribeirão do Sul,Pública,4.8,4.9,5.3,5.6,5.2,"6,1","6,3","6,5","6,7",6º ao 9º ano,3543204.0,True,False,False
3298,Ribeirão Grande,Estadual,5.2,5.9,5.8,5.5,5.7,"5,2","5,4","5,7","5,9",6º ao 9º ano,3543253.0,True,False,False
3299,Ribeirão Grande,Municipal,5.9,6.6,6.4,5.8,6.7,"5,6","5,9","6,2","6,4",1º ao 5º ano,3543253.0,False,True,False
3300,Ribeirão Grande,Pública,5.9,6.6,6.4,5.8,6.7,"5,6","5,9","6,2","6,4",1º ao 5º ano,3543253.0,False,True,False
3301,Ribeirão Grande,Pública,5.2,5.9,5.8,5.5,5.7,"5,2","5,4","5,7","5,9",6º ao 9º ano,3543253.0,True,False,False
3304,Ribeirão Pires,Estadual,6.7,7.0,7.1,6.6,6.5,"6,3","6,5","6,7",7,1º ao 5º ano,3543303.0,False,True,False
3305,Ribeirão Pires,Estadual,5.1,5.4,5.4,5.6,5.5,"5,4","5,6","5,9","6,1",6º ao 9º ano,3543303.0,True,False,False
3306,Ribeirão Pires,Municipal,5.4,5.7,5.6,5.6,5.7,6,"6,2","6,4","6,6",6º ao 9º ano,3543303.0,True,False,False
3307,Ribeirão Pires,Municipal,6.3,7.0,6.9,6.4,6.8,"6,4","6,6","6,8",7,1º ao 5º ano,3543303.0,False,True,False
3308,Ribeirão Pires,Pública,6.5,7.0,7.0,6.5,6.6,"6,3","6,5","6,8",7,1º ao 5º ano,3543303.0,False,True,False
3309,Ribeirão Pires,Pública,5.1,5.4,5.4,5.6,5.5,"5,4","5,6","5,9","6,1",6º ao 9º ano,3543303.0,True,False,False
3312,Ribeirão Preto,Estadual,6.1,6.0,6.3,5.9,5.9,6,"6,2","6,5","6,7",1º ao 5º ano,3543402.0,False,True,False
3313,Ribeirão Preto,Estadual,4.3,4.4,4.8,4.9,4.7,"5,1","5,4","5,6","5,8",6º ao 9º ano,3543402.0,True,False,False
3314,Ribeirão Preto,Municipal,5.2,5.0,4.8,5.4,4.8,"5,3","5,6","5,8","6,1",6º ao 9º ano,3543402.0,True,False,False
3315,Ribeirão Preto,Municipal,6.1,6.2,6.0,5.4,5.9,"5,9","6,2","6,4","6,7",1º ao 5º ano,3543402.0,False,True,False
3316,Ribeirão Preto,Pública,6.1,6.1,6.2,5.7,5.9,6,"6,2","6,5","6,7",1º ao 5º ano,3543402.0,False,True,False
3317,Ribeirão Preto,Pública,4.6,4.7,4.8,5.1,4.7,"5,2","5,4","5,7","5,9",6º ao 9º ano,3543402.0,True,False,False
