,localidade,rede,ideb_2015,ideb_2017,ideb_2019,ideb_2021,ideb_2023,meta_2015,meta_2017,meta_2019,meta_2021,anos,cod,6_ao_9_ano,1_ao_5_ano,ensino_médio
2,Adamantina,Estadual,5.0,4.9,5.2,5.2,5.4,"5,8",6,"6,2","6,4",6º ao 9º ano,3500105.0,True,False,False
3,Adamantina,Municipal,6.6,6.9,6.8,6.3,6.5,"6,2","6,4","6,6","6,8",1º ao 5º ano,3500105.0,False,True,False
4,Adamantina,Pública,6.6,6.9,6.8,6.3,6.5,"6,2","6,4","6,6","6,8",1º ao 5º ano,3500105.0,False,True,False
5,Adamantina,Pública,5.0,4.9,5.2,5.2,5.4,"5,8",6,"6,2","6,4",6º ao 9º ano,3500105.0,True,False,False
8,Adolfo,Municipal,4.4,5.2,4.9,5.4,5.8,"4,9","5,2","5,4","5,7",6º ao 9º ano,3500204.0,True,False,False
9,Adolfo,Municipal,6.2,6.5,6.4,6.3,6.9,6,"6,3","6,5","6,7",1º ao 5º ano,3500204.0,False,True,False
10,Adolfo,Pública,6.2,6.5,6.4,6.3,6.9,6,"6,3","6,5","6,7",1º ao 5º ano,3500204.0,False,True,False
11,Adolfo,Pública,4.4,5.2,4.9,5.4,5.8,"4,9","5,2","5,4","5,7",6º ao 9º ano,3500204.0,True,False,False
14,Aguaí,Estadual,6.7,7.0,6.3,5.7,6.0,"6,5","6,7",7,"7,2",1º ao 5º ano,3500303.0,False,True,False
15,Aguaí,Estadual,4.7,4.5,5.0,4.8,4.8,"5,4","5,6","5,9","6,1",6º ao 9º ano,3500303.0,True,False,False
16,Aguaí,Municipal,4.2,4.9,5.9,5.6,5.7,"4,5","4,8","5,1","5,3",6º ao 9º ano,3500303.0,True,False,False
17,Aguaí,Municipal,5.2,6.1,6.2,5.8,5.9,"5,4","5,7","5,9","6,2",1º ao 5º ano,3500303.0,False,True,False
18,Aguaí,Pública,5.4,6.3,6.2,5.8,5.9,"5,9","6,2","6,4","6,7",1º ao 5º ano,3500303.0,False,True,False
19,Aguaí,Pública,4.6,4.6,5.2,5.1,5.1,"5,3","5,5","5,8",6,6º ao 9º ano,3500303.0,True,False,False
22,Águas da Prata,Estadual,5.6,5.6,5.9,5.2,5.6,"6,4","6,6","6,8","6,9",6º ao 9º ano,3500402.0,True,False,False
23,Águas da Prata,Municipal,5.8,6.5,6.6,6.5,6.3,"5,9","6,1","6,4","6,6",1º ao 5º ano,3500402.0,False,True,False
24,Águas da Prata,Pública,5.8,6.5,6.6,6.5,6.3,"5,9","6,1","6,4","6,6",1º ao 5º ano,3500402.0,False,True,False
25,Águas da Prata,Pública,5.6,5.6,5.9,5.2,5.6,"6,4","6,6","6,7","6,9",6º ao 9º ano,3500402.0,True,False,False
28,Águas de Lindóia,Estadual,6.7,7.8,6.8,6.1,7.5,"6,4","6,6","6,8","7,1",1º ao 5º ano,3500501.0,False,True,False
29,Águas de Lindóia,Estadual,5.4,5.3,5.6,6.0,6.0,"5,5","5,8",6,"6,2",6º ao 9º ano,3500501.0,True,False,False
30,Águas de Lindóia,Municipal,4.7,5.1,5.1,5.5,5.5,"5,2","5,5","5,7",6,6º ao 9º ano,3500501.0,True,False,False
31,Águas de Lindóia,Municipal,6.1,6.8,6.5,6.6,6.7,"5,8",6,"6,3","6,5",1º ao 5º ano,3500501.0,False,True,False
32,Águas de Lindóia,Pública,6.2,7.0,6.5,6.5,6.8,"6,2","6,4","6,7","6,9",1º ao 5º ano,3500501.0,False,True,False
33,Águas de Lindóia,Pública,4.9,5.1,5.2,5.6,5.7,"5,5","5,7","5,9","6,2",6º ao 9º ano,3500501.0,True,False,False
36,Águas de Santa Bárbara,Estadual,5.4,5.9,5.8,5.7,5.9,"5,6","5,9","6,1","6,3",6º ao 9º ano,3500550.0,True,False,False
37,Águas de Santa Bárbara,Municipal,6.7,6.9,6.9,6.2,6.3,"6,4","6,6","6,9","7,1",1º ao 5º ano,3500550.0,False,True,False
38,Águas de Santa Bárbara,Pública,6.7,6.9,6.9,6.2,6.3,"6,4","6,6","6,9","7,1",1º ao 5º ano,3500550.0,False,True,False
39,Águas de Santa Bárbara,Pública,5.4,5.9,5.8,5.7,5.9,"5,6","5,9","6,1","6,3",6º ao 9º ano,3500550.0,True,False,False
42,Águas de São Pedro,Municipal,5.6,6.6,6.3,6.3,6.5,"5,5","5,7",6,"6,2",6º ao 9º ano,3500600.0,True,False,False
43,Águas de São Pedro,Municipal,7.0,7.4,7.4,6.9,7.1,"6,1","6,3","6,6","6,8",1º ao 5º ano,3500600.0,False,True,False
44,Águas de São Pedro,Pública,7.0,7.4,7.4,6.9,7.1,"6,1","6,3","6,6","6,8",1º ao 5º ano,3500600.0,False,True,False
45,Águas de São Pedro,Pública,5.6,6.6,6.3,6.3,6.5,"5,5","5,7",6,"6,2",6º ao 9º ano,3500600.0,True,False,False
49,Agudos,Estadual,4.7,4.5,5.1,5.1,4.9,"5,5","5,7","5,9","6,2",6º ao 9º ano,3500709.0,True,False,False
50,Agudos,Municipal,6.2,6.5,6.5,6.1,6.3,"5,8","6,1","6,3","6,6",1º ao 5º ano,3500709.0,False,True,False
51,Agudos,Pública,6.2,6.5,6.5,6.1,6.3,"5,6","5,9","6,1","6,4",1º ao 5º ano,3500709.0,False,True,False
52,Agudos,Pública,4.7,4.5,5.1,5.1,4.9,"5,5","5,7","5,9","6,2",6º ao 9º ano,3500709.0,True,False,False
56,Alambari,Municipal,6.2,6.8,6.5,5.6,6.2,"5,6","5,9","6,1","6,4",1º ao 5º ano,3500758.0,False,True,False
57,Alambari,Pública,6.2,6.8,6.5,5.6,6.2,"5,6","5,9","6,1","6,4",1º ao 5º ano,3500758.0,False,True,False
61,Alfredo Marcondes,Estadual,7.0,6.1,6.9,6.6,5.8,"5,4","5,7",6,"6,2",1º ao 5º ano,3500808.0,False,True,False
62,Alfredo Marcondes,Estadual,4.8,4.7,5.0,5.2,5.0,"5,6","5,9","6,1","6,3",6º ao 9º ano,3500808.0,True,False,False
63,Alfredo Marcondes,Pública,7.0,6.1,6.9,6.6,5.8,"5,4","5,7",6,"6,2",1º ao 5º ano,3500808.0,False,True,False
64,Alfredo Marcondes,Pública,4.8,4.7,5.0,5.2,5.0,"5,6","5,9","6,1","6,3",6º ao 9º ano,3500808.0,True,False,False
67,Altair,Estadual,4.9,4.1,4.8,5.0,5.4,"4,8",5,"5,3","5,6",6º ao 9º ano,3500907.0,True,False,False
68,Altair,Municipal,5.3,6.5,6.3,5.9,6.5,"5,3","5,6","5,9","6,1",1º ao 5º ano,3500907.0,False,True,False
69,Altair,Pública,5.3,6.5,6.3,5.9,6.5,"5,3","5,6","5,9","6,1",1º ao 5º ano,3500907.0,False,True,False
70,Altair,Pública,4.9,4.1,4.8,5.0,5.4,"4,8",5,"5,3","5,6",6º ao 9º ano,3500907.0,True,False,False
73,Altinópolis,Estadual,5.9,5.5,5.6,5.2,5.3,"6,1","6,3","6,5","6,7",6º ao 9º ano,3501004.0,True,False,False
74,Altinópolis,Municipal,4.1,3.9,4.9,5.3,5.4,"4,6","4,9","5,1","5,4",6º ao 9º ano,3501004.0,True,False,False
75,Altinópolis,Municipal,6.3,6.2,6.6,6.1,7.0,"6,2","6,5","6,7","6,9",1º ao 5º ano,3501004.0,False,True,False
76,Altinópolis,Pública,6.3,6.2,6.6,6.1,7.0,"6,2","6,5","6,7","6,9",1º ao 5º ano,3501004.0,False,True,False
77,Altinópolis,Pública,4.8,4.7,5.3,5.2,5.4,"5,9","6,1","6,3","6,5",6º ao 9º ano,3501004.0,True,False,False
81,Alto Alegre,Estadual,4.8,5.2,4.6,5.1,5.7,"5,4","5,7","5,9","6,2",6º ao 9º ano,3501103.0,True,False,False
82,Alto Alegre,Municipal,6.0,7.6,8.1,7.9,7.8,"6,3","6,6","6,8",7,1º ao 5º ano,3501103.0,False,True,False
83,Alto Alegre,Pública,6.0,7.6,8.1,7.9,7.8,"5,9","6,2","6,4","6,7",1º ao 5º ano,3501103.0,False,True,False
84,Alto Alegre,Pública,4.8,5.2,4.6,5.1,5.7,"5,4","5,7","5,9","6,2",6º ao 9º ano,3501103.0,True,False,False
87,Alumínio,Municipal,3.9,5.1,5.2,5.3,4.8,"5,1","5,3","5,6","5,8",6º ao 9º ano,3501152.0,True,False,False
88,Alumínio,Municipal,5.4,6.6,6.7,6.3,5.9,"5,9","6,2","6,4","6,7",1º ao 5º ano,3501152.0,False,True,False
89,Alumínio,Pública,5.4,6.6,6.7,6.3,5.9,"5,9","6,2","6,4","6,7",1º ao 5º ano,3501152.0,False,True,False
90,Alumínio,Pública,3.9,5.1,5.2,5.3,4.8,"5,1","5,3","5,6","5,8",6º ao 9º ano,3501152.0,True,False,False
93,Álvares Florence,Estadual,5.2,5.3,5.9,5.9,6.2,"5,4","5,7","5,9","6,1",6º ao 9º ano,3501202.0,True,False,False
95,Álvares Florence,Municipal,6.2,6.2,6.6,6.2,7.9,"6,1","6,3","6,6","6,8",1º ao 5º ano,3501202.0,False,True,False
96,Álvares Florence,Pública,6.2,6.2,6.6,6.2,7.9,"6,1","6,3","6,6","6,8",1º ao 5º ano,3501202.0,False,True,False
97,Álvares Florence,Pública,4.7,5.3,5.8,5.6,5.4,"5,4","5,7","5,9","6,1",6º ao 9º ano,3501202.0,True,False,False
101,Álvares Machado,Municipal,4.2,4.5,5.0,5.0,5.2,"4,6","4,9","5,1","5,4",6º ao 9º ano,3501301.0,True,False,False
102,Álvares Machado,Municipal,6.1,6.3,5.9,6.2,6.4,"5,7",6,"6,2","6,5",1º ao 5º ano,3501301.0,False,True,False
103,Álvares Machado,Pública,6.1,6.3,5.9,6.2,6.4,"5,7",6,"6,2","6,5",1º ao 5º ano,3501301.0,False,True,False
104,Álvares Machado,Pública,4.2,4.5,5.0,5.0,5.2,"4,7","4,9","5,2","5,4",6º ao 9º ano,3501301.0,True,False,False
108,Álvaro de Carvalho,Municipal,5.7,6.0,6.3,5.8,6.5,"5,6","5,8","6,1","6,3",1º ao 5º ano,3501400.0,False,True,False
109,Álvaro de Carvalho,Pública,5.7,6.0,6.3,5.8,6.5,"5,6","5,8","6,1","6,3",1º ao 5º ano,3501400.0,False,True,False
113,Alvinlândia,Estadual,4.4,4.6,5.2,5.1,5.2,"4,8",5,"5,3","5,5",6º ao 9º ano,3501509.0,True,False,False
114,Alvinlândia,Municipal,6.1,7.0,6.6,6.2,6.1,"5,7",6,"6,3","6,5",1º ao 5º ano,3501509.0,False,True,False
115,Alvinlândia,Pública,6.1,7.0,6.6,6.2,6.1,"5,7",6,"6,3","6,5",1º ao 5º ano,3501509.0,False,True,False
116,Alvinlândia,Pública,4.4,4.6,5.2,5.1,5.2,"4,8",5,"5,3","5,5",6º ao 9º ano,3501509.0,True,False,False
119,Americana,Estadual,6.8,6.9,6.9,6.7,6.7,"6,4","6,6","6,8","7,1",1º ao 5º ano,3501608.0,False,True,False
120,Americana,Estadual,5.1,5.1,5.5,5.4,5.4,"5,7","5,9","6,1","6,3",6º ao 9º ano,3501608.0,True,False,False
121,Americana,Municipal,5.7,5.8,5.9,5.7,5.9,"5,9","6,1","6,3","6,5",6º ao 9º ano,3501608.0,True,False,False
122,Americana,Municipal,6.8,6.7,6.8,6.6,6.8,"6,4","6,6","6,9","7,1",1º ao 5º ano,3501608.0,False,True,False
123,Americana,Pública,6.8,6.8,6.9,6.7,6.8,"6,4","6,6","6,9","7,1",1º ao 5º ano,3501608.0,False,True,False
124,Americana,Pública,5.2,5.3,5.6,5.5,5.5,"5,7","5,9","6,2","6,4",6º ao 9º ano,3501608.0,True,False,False
127,Américo Brasiliense,Estadual,4.6,4.8,4.9,5.0,4.7,"5,6","5,8","6,1","6,3",6º ao 9º ano,3501707.0,True,False,False
128,Américo Brasiliense,Municipal,5.2,4.8,5.3,5.5,5.6,"5,8",6,"6,2","6,4",6º ao 9º ano,3501707.0,True,False,False
129,Américo Brasiliense,Municipal,6.3,6.9,6.9,6.6,6.6,"6,6","6,8",7,"7,2",1º ao 5º ano,3501707.0,False,True,False
130,Américo Brasiliense,Pública,6.3,6.9,6.9,6.6,6.6,"6,6","6,8",7,"7,2",1º ao 5º ano,3501707.0,False,True,False
131,Américo Brasiliense,Pública,4.9,4.8,5.2,5.3,5.3,"5,7","5,9","6,1","6,3",6º ao 9º ano,3501707.0,True,False,False
134,Américo de Campos,Estadual,4.0,4.0,4.7,5.1,5.8,6,"6,2","6,5","6,7",6º ao 9º ano,3501806.0,True,False,False
135,Américo de Campos,Municipal,5.7,6.0,6.0,6.2,6.4,"6,4","6,6","6,8",7,6º ao 9º ano,3501806.0,True,False,False
136,Américo de Campos,Municipal,5.6,6.2,6.3,6.6,7.3,"6,2","6,5","6,7","6,9",1º ao 5º ano,3501806.0,False,True,False
137,Américo de Campos,Pública,5.6,6.2,6.3,6.6,7.3,"6,2","6,5","6,7","6,9",1º ao 5º ano,3501806.0,False,True,False
138,Américo de Campos,Pública,5.0,5.4,5.6,5.9,6.3,6,"6,2","6,5","6,7",6º ao 9º ano,3501806.0,True,False,False
141,Amparo,Estadual,6.9,7.0,7.5,6.8,6.9,"6,1","6,4","6,6","6,8",1º ao 5º ano,3501905.0,False,True,False
142,Amparo,Estadual,5.2,5.4,5.8,5.6,5.4,"5,5","5,7",6,"6,2",6º ao 9º ano,3501905.0,True,False,False
143,Amparo,Municipal,6.7,6.9,6.5,6.3,6.2,"5,7",6,"6,2","6,5",1º ao 5º ano,3501905.0,False,True,False
144,Amparo,Pública,6.8,6.9,6.8,6.5,6.3,"5,9","6,2","6,4","6,6",1º ao 5º ano,3501905.0,False,True,False
145,Amparo,Pública,5.1,5.4,5.8,5.6,5.4,"5,5","5,7",6,"6,2",6º ao 9º ano,3501905.0,True,False,False
154,Andradina,Estadual,5.2,5.1,5.3,5.3,5.0,5,"5,3","5,5","5,8",6º ao 9º ano,3502101.0,True,False,False
155,Andradina,Municipal,6.3,7.1,7.0,6.0,6.5,"6,1","6,3","6,5","6,8",1º ao 5º ano,3502101.0,False,True,False
156,Andradina,Pública,6.3,7.1,7.0,6.0,6.5,"6,1","6,3","6,5","6,8",1º ao 5º ano,3502101.0,False,True,False
157,Andradina,Pública,5.2,5.1,5.3,5.3,5.0,5,"5,3","5,5","5,8",6º ao 9º ano,3502101.0,True,False,False
161,Angatuba,Estadual,5.0,5.1,5.5,5.6,5.3,"5,5","5,7","5,9","6,2",6º ao 9º ano,3502200.0,True,False,False
162,Angatuba,Municipal,5.5,5.7,5.6,5.8,5.7,"6,4","6,6","6,8",7,6º ao 9º ano,3502200.0,True,False,False
163,Angatuba,Municipal,6.8,7.2,7.0,6.6,6.6,"6,3","6,5","6,8",7,1º ao 5º ano,3502200.0,False,True,False
164,Angatuba,Pública,6.7,7.1,6.9,6.5,6.6,"5,8","6,1","6,3","6,6",1º ao 5º ano,3502200.0,False,True,False
165,Angatuba,Pública,5.3,5.6,5.6,5.7,5.6,6,"6,2","6,4","6,6",6º ao 9º ano,3502200.0,True,False,False
169,Anhembi,Municipal,4.3,4.0,4.4,5.1,5.3,"4,4","4,7","4,9","5,2",6º ao 9º ano,3502309.0,True,False,False
170,Anhembi,Municipal,5.8,5.6,6.1,5.0,5.7,"5,6","5,9","6,1","6,4",1º ao 5º ano,3502309.0,False,True,False
171,Anhembi,Pública,5.8,5.6,6.1,5.0,5.7,"5,6","5,9","6,1","6,4",1º ao 5º ano,3502309.0,False,True,False
172,Anhembi,Pública,4.3,4.0,4.4,5.1,5.3,"4,8",5,"5,3","5,6",6º ao 9º ano,3502309.0,True,False,False
176,Anhumas,Estadual,4.6,5.3,5.6,4.3,4.4,"5,5","5,7",6,"6,2",6º ao 9º ano,3502408.0,True,False,False
177,Anhumas,Municipal,6.6,6.5,7.2,7.0,7.8,"6,4","6,6","6,8","7,1",1º ao 5º ano,3502408.0,False,True,False
178,Anhumas,Pública,6.6,6.5,7.2,7.0,7.8,"6,1","6,4","6,6","6,8",1º ao 5º ano,3502408.0,False,True,False
179,Anhumas,Pública,4.6,5.3,5.6,4.3,4.4,"5,5","5,7",6,"6,2",6º ao 9º ano,3502408.0,True,False,False
184,Aparecida,Municipal,4.7,5.0,5.6,5.7,5.6,"5,5","5,8",6,"6,2",6º ao 9º ano,3502507.0,True,False,False
185,Aparecida,Municipal,6.2,6.7,6.7,6.3,6.6,"5,8","6,1","6,3","6,6",1º ao 5º ano,3502507.0,False,True,False
186,Aparecida,Pública,6.2,6.7,6.7,6.3,6.6,"5,8",6,"6,3","6,5",1º ao 5º ano,3502507.0,False,True,False
187,Aparecida,Pública,4.7,5.0,5.6,5.7,5.6,"5,3","5,6","5,8","6,1",6º ao 9º ano,3502507.0,True,False,False
191,Aparecida d'Oeste,Estadual,5.1,6.0,5.5,5.5,5.7,6,"6,3","6,5","6,7",6º ao 9º ano,3502606.0,True,False,False
192,Aparecida d'Oeste,Municipal,6.3,6.7,6.7,6.3,7.1,"6,5","6,7","6,9","7,1",1º ao 5º ano,3502606.0,False,True,False
193,Aparecida d'Oeste,Pública,6.3,6.7,6.7,6.3,7.1,"6,2","6,4","6,7","6,9",1º ao 5º ano,3502606.0,False,True,False
194,Aparecida d'Oeste,Pública,5.1,6.0,5.5,5.5,5.7,6,"6,3","6,5","6,7",6º ao 9º ano,3502606.0,True,False,False
197,Apiaí,Estadual,6.3,6.0,6.0,5.4,5.8,"5,6","5,9","6,1","6,4",1º ao 5º ano,3502705.0,False,True,False
198,Apiaí,Estadual,5.4,5.1,5.5,5.2,5.4,"5,6","5,8","6,1","6,3",6º ao 9º ano,3502705.0,True,False,False
199,Apiaí,Municipal,6.2,6.8,6.7,6.1,7.0,"6,4","6,6","6,9","7,1",1º ao 5º ano,3502705.0,False,True,False
200,Apiaí,Pública,6.2,6.4,6.5,5.8,6.6,"5,9","6,1","6,4","6,6",1º ao 5º ano,3502705.0,False,True,False
201,Apiaí,Pública,5.4,5.1,5.5,5.2,5.4,"5,6","5,8","6,1","6,3",6º ao 9º ano,3502705.0,True,False,False
204,Araçariguama,Municipal,4.4,4.8,4.9,5.0,4.7,"5,2","5,4","5,7","5,9",6º ao 9º ano,3502754.0,True,False,False
205,Araçariguama,Municipal,5.8,6.3,6.3,5.7,5.5,"5,6","5,9","6,1","6,4",1º ao 5º ano,3502754.0,False,True,False
206,Araçariguama,Pública,5.8,6.3,6.3,5.7,5.5,"5,6","5,9","6,1","6,4",1º ao 5º ano,3502754.0,False,True,False
207,Araçariguama,Pública,4.4,4.8,4.9,5.0,4.7,"5,2","5,4","5,7","5,9",6º ao 9º ano,3502754.0,True,False,False
211,Araçatuba,Estadual,4.8,4.9,5.4,5.4,5.6,"5,3","5,5","5,8",6,6º ao 9º ano,3502804.0,True,False,False
212,Araçatuba,Municipal,6.4,6.7,6.9,6.9,6.9,"6,3","6,5","6,8",7,1º ao 5º ano,3502804.0,False,True,False
213,Araçatuba,Pública,6.4,6.7,6.9,6.9,6.9,"6,4","6,6","6,8",7,1º ao 5º ano,3502804.0,False,True,False
214,Araçatuba,Pública,4.8,4.9,5.4,5.4,5.6,"5,3","5,5","5,8",6,6º ao 9º ano,3502804.0,True,False,False
218,Araçoiaba da Serra,Municipal,5.1,5.1,5.2,5.2,5.3,"5,5","5,8",6,"6,2",6º ao 9º ano,3502903.0,True,False,False
219,Araçoiaba da Serra,Municipal,6.0,6.3,6.5,5.9,6.2,"6,3","6,5","6,7",7,1º ao 5º ano,3502903.0,False,True,False
220,Araçoiaba da Serra,Pública,6.0,6.3,6.5,5.9,6.2,"6,3","6,5","6,7",7,1º ao 5º ano,3502903.0,False,True,False
221,Araçoiaba da Serra,Pública,5.1,5.1,5.2,5.2,5.3,"5,5","5,7","5,9","6,2",6º ao 9º ano,3502903.0,True,False,False
224,Aramina,Estadual,5.0,5.2,4.5,5.1,5.0,"5,7","5,9","6,2","6,4",6º ao 9º ano,3503000.0,True,False,False
227,Aramina,Pública,5.0,5.2,4.5,5.1,5.0,"5,7","5,9","6,2","6,4",6º ao 9º ano,3503000.0,True,False,False
230,Arandu,Estadual,4.5,4.7,5.0,4.5,4.8,"4,7","4,9","5,2","5,4",6º ao 9º ano,3503109.0,True,False,False
231,Arandu,Municipal,5.6,5.8,5.7,5.2,5.6,"5,9","6,1","6,4","6,6",1º ao 5º ano,3503109.0,False,True,False
232,Arandu,Pública,5.6,5.8,5.7,5.2,5.6,"5,9","6,1","6,4","6,6",1º ao 5º ano,3503109.0,False,True,False
233,Arandu,Pública,4.5,4.7,5.0,4.5,4.8,"4,7","4,9","5,2","5,4",6º ao 9º ano,3503109.0,True,False,False
236,Arapeí,Municipal,4.2,4.1,4.9,5.0,4.5,"3,7",4,"4,2","4,5",6º ao 9º ano,3503158.0,True,False,False
237,Arapeí,Municipal,5.7,4.8,5.3,4.9,5.1,"4,9","5,2","5,4","5,7",1º ao 5º ano,3503158.0,False,True,False
238,Arapeí,Pública,5.7,4.8,5.3,4.9,5.1,"4,9","5,2","5,4","5,7",1º ao 5º ano,3503158.0,False,True,False
239,Arapeí,Pública,4.2,4.1,4.9,5.0,4.5,"3,7",4,"4,2","4,5",6º ao 9º ano,3503158.0,True,False,False
243,Araraquara,Estadual,7.1,6.9,7.1,6.7,6.6,"6,7","6,9","7,1","7,3",1º ao 5º ano,3503208.0,False,True,False
244,Araraquara,Estadual,4.9,5.0,5.4,5.4,5.2,6,"6,2","6,4","6,6",6º ao 9º ano,3503208.0,True,False,False
245,Araraquara,Municipal,4.5,4.9,5.2,5.3,5.4,"5,4","5,6","5,9","6,1",6º ao 9º ano,3503208.0,True,False,False
246,Araraquara,Municipal,5.9,6.1,6.3,5.9,6.1,"6,2","6,5","6,7","6,9",1º ao 5º ano,3503208.0,False,True,False
247,Araraquara,Pública,6.5,6.5,6.7,6.3,6.3,"6,5","6,7","6,9","7,2",1º ao 5º ano,3503208.0,False,True,False
248,Araraquara,Pública,4.8,5.0,5.3,5.4,5.2,"5,9","6,2","6,4","6,6",6º ao 9º ano,3503208.0,True,False,False
251,Araras,Estadual,7.2,7.2,7.1,6.7,7.3,"6,7","6,9","7,1","7,3",1º ao 5º ano,3503307.0,False,True,False
252,Araras,Estadual,5.4,5.3,5.7,5.5,5.5,"5,6","5,8",6,"6,3",6º ao 9º ano,3503307.0,True,False,False
253,Araras,Municipal,5.4,5.4,5.6,5.4,5.5,"5,4","5,6","5,8","6,1",6º ao 9º ano,3503307.0,True,False,False
254,Araras,Municipal,6.6,6.6,7.0,6.4,6.5,"6,2","6,4","6,6","6,9",1º ao 5º ano,3503307.0,False,True,False
255,Araras,Pública,6.8,6.8,7.0,6.5,6.8,"6,4","6,6","6,8",7,1º ao 5º ano,3503307.0,False,True,False
256,Araras,Pública,5.4,5.3,5.6,5.5,5.5,"5,5","5,8",6,"6,2",6º ao 9º ano,3503307.0,True,False,False
266,Arealva,Estadual,5.2,5.3,5.3,4.8,5.4,"5,5","5,7",6,"6,2",6º ao 9º ano,3503406.0,True,False,False
267,Arealva,Municipal,6.2,6.7,6.8,6.5,6.7,"6,2","6,4","6,6","6,9",1º ao 5º ano,3503406.0,False,True,False
268,Arealva,Pública,6.2,6.7,6.8,6.5,6.7,"6,2","6,4","6,6","6,9",1º ao 5º ano,3503406.0,False,True,False
269,Arealva,Pública,5.2,5.3,5.3,4.8,5.4,"5,5","5,7",6,"6,2",6º ao 9º ano,3503406.0,True,False,False
273,Areias,Municipal,5.4,6.0,6.2,5.5,5.6,"5,4","5,6","5,9","6,2",1º ao 5º ano,3503505.0,False,True,False
274,Areias,Pública,5.4,6.0,6.2,5.5,5.6,"5,4","5,6","5,9","6,2",1º ao 5º ano,3503505.0,False,True,False
278,Areiópolis,Municipal,5.0,5.0,5.2,5.3,5.2,"4,9","5,2","5,4","5,7",6º ao 9º ano,3503604.0,True,False,False
279,Areiópolis,Municipal,5.9,6.3,6.4,6.2,6.3,"5,5","5,8","6,1","6,3",1º ao 5º ano,3503604.0,False,True,False
280,Areiópolis,Pública,5.9,6.3,6.4,6.2,6.3,"5,5","5,8","6,1","6,3",1º ao 5º ano,3503604.0,False,True,False
281,Areiópolis,Pública,5.0,5.0,5.2,5.3,5.2,"4,9","5,2","5,4","5,7",6º ao 9º ano,3503604.0,True,False,False
284,Ariranha,Estadual,5.3,5.4,5.8,5.8,5.8,"5,5","5,7",6,"6,2",6º ao 9º ano,3503703.0,True,False,False
285,Ariranha,Municipal,7.1,7.4,7.4,6.6,7.3,"5,9","6,2","6,4","6,7",1º ao 5º ano,3503703.0,False,True,False
286,Ariranha,Pública,7.1,7.4,7.4,6.6,7.3,"5,9","6,2","6,4","6,7",1º ao 5º ano,3503703.0,False,True,False
287,Ariranha,Pública,5.3,5.4,5.8,5.8,5.8,"5,5","5,7",6,"6,2",6º ao 9º ano,3503703.0,True,False,False
290,Artur Nogueira,Estadual,4.6,4.8,5.7,5.4,5.4,"5,4","5,6","5,9","6,1",6º ao 9º ano,3503802.0,True,False,False
291,Artur Nogueira,Municipal,6.5,6.5,6.6,6.3,6.4,"6,4","6,6","6,8",7,1º ao 5º ano,3503802.0,False,True,False
292,Artur Nogueira,Pública,6.5,6.5,6.6,6.3,6.4,"6,4","6,6","6,8",7,1º ao 5º ano,3503802.0,False,True,False
293,Artur Nogueira,Pública,4.6,4.8,5.7,5.4,5.4,"5,4","5,6","5,9","6,1",6º ao 9º ano,3503802.0,True,False,False
297,Arujá,Estadual,4.8,5.0,5.3,5.5,5.3,"5,4","5,6","5,9","6,1",6º ao 9º ano,3503901.0,True,False,False
298,Arujá,Municipal,6.0,6.8,7.0,6.2,6.4,"6,1","6,3","6,5","6,8",1º ao 5º ano,3503901.0,False,True,False
299,Arujá,Pública,6.0,6.8,6.9,6.2,6.4,"6,1","6,3","6,6","6,8",1º ao 5º ano,3503901.0,False,True,False
300,Arujá,Pública,4.8,5.0,5.3,5.5,5.3,"5,4","5,6","5,9","6,1",6º ao 9º ano,3503901.0,True,False,False
305,Aspásia,Estadual,5.7,5.9,6.3,5.8,6.3,"5,9","6,2","6,4","6,6",6º ao 9º ano,3503950.0,True,False,False
306,Aspásia,Pública,5.7,5.9,6.3,5.8,6.3,"5,9","6,2","6,4","6,6",6º ao 9º ano,3503950.0,True,False,False
310,Assis,Estadual,5.1,4.9,5.3,5.4,5.3,"5,6","5,8","6,1","6,3",6º ao 9º ano,3504008.0,True,False,False
311,Assis,Municipal,6.5,6.7,6.5,6.1,6.4,6,"6,2","6,5","6,7",1º ao 5º ano,3504008.0,False,True,False
312,Assis,Pública,6.5,6.7,6.5,6.1,6.4,6,"6,2","6,5","6,7",1º ao 5º ano,3504008.0,False,True,False
313,Assis,Pública,5.1,4.9,5.3,5.4,5.3,"5,6","5,8",6,"6,3",6º ao 9º ano,3504008.0,True,False,False
316,Atibaia,Estadual,7.3,7.1,7.1,6.8,5.6,"6,6","6,8",7,"7,2",1º ao 5º ano,3504107.0,False,True,False
317,Atibaia,Estadual,5.2,5.4,5.5,5.7,5.5,"5,4","5,7","5,9","6,1",6º ao 9º ano,3504107.0,True,False,False
318,Atibaia,Municipal,7.0,7.3,7.4,6.8,7.3,"6,3","6,6","6,8",7,1º ao 5º ano,3504107.0,False,True,False
319,Atibaia,Pública,7.0,7.3,7.4,6.8,7.2,"6,4","6,6","6,8",7,1º ao 5º ano,3504107.0,False,True,False
320,Atibaia,Pública,5.2,5.4,5.5,5.7,5.5,"5,4","5,7","5,9","6,1",6º ao 9º ano,3504107.0,True,False,False
323,Auriflama,Estadual,5.4,5.3,5.6,5.5,5.7,"5,7","5,9","6,2","6,4",6º ao 9º ano,3504206.0,True,False,False
324,Auriflama,Municipal,6.9,6.7,7.2,6.7,6.8,"6,6","6,8",7,"7,2",1º ao 5º ano,3504206.0,False,True,False
