,NOME,FASE,TURMA,INSTITUICAO_ENSINO_ALUNO,SINALIZADOR_INGRESSANTE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPP,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,PONTO_VIRADA,IPV,IAN,NIVEL_IDEAL,DEFASAGEM,ANO
888,ALUNO-889,2.0,D,Escola Pública,Veterano,Ametista,7.933,8.5,8.3,7.5,8.3,7.5,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,8.8,5.0,Nível 3 (7o e 8o ano),-1.0,2021
889,ALUNO-890,3.0,R,Escola Pública,Veterano,Ágata,6.058,10.0,5.3,7.5,2.3,7.2,Promovido de Fase,Promovido de Fase,Não avaliado,Não avaliado,Não,5.4,10.0,Nível 3 (7o e 8o ano),0.0,2021
891,ALUNO-892,1.0,G,Escola Pública,Veterano,Ametista,7.411,7.0,9.6,5.6,6.9,8.3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,7.6,5.0,Nível 3 (7o e 8o ano),-2.0,2021
896,ALUNO-897,3.0,M,Escola Pública,Veterano,Quartzo,5.135,7.9,3.3,6.9,4.3,6.7,Mantido na Fase atual,Alocado em Fase anterior,Mantido na Fase atual,Não avaliado,Não,4.8,5.0,Nível 4 (9o ano),-1.0,2021
898,ALUNO-899,2.0,D,Escola Pública,Veterano,Ametista,8.092,8.0,7.1,7.5,7.9,7.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Sim,9.0,10.0,Nível 2 (5o e 6o ano),0.0,2021
899,ALUNO-900,3.0,D,Escola Pública,Ingressante,Ágata,5.835,7.9,5.6,7.5,5.4,7.3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,4.4,5.0,Nível 4 (9o ano),-1.0,2021
901,ALUNO-902,0.0,I,Escola Pública,Veterano,Ametista,7.273,8.5,10.0,7.5,5.4,7.8,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.6,5.0,Nível 1 (4o ano),-1.0,2021
902,ALUNO-903,1.0,M,Rede Decisão,Ingressante,Topázio,9.069,9.0,10.0,7.5,8.3,8.1,Promovido de Fase,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Sim,9.7,10.0,Nível 1 (4o ano),0.0,2021
903,ALUNO-904,4.0,A,Escola Pública,Veterano,Ametista,7.144,9.2,5.6,7.5,5.9,7.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não,7.2,10.0,Nível 4 (9o ano),0.0,2021
904,ALUNO-905,0.0,M,Escola Pública,Ingressante,Ágata,6.133,9.5,5.8,7.5,3.5,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.6,5.0,Nível 1 (4o ano),-1.0,2021
905,ALUNO-906,5.0,A,Rede Decisão,Veterano,Topázio,8.632,9.6,9.2,7.5,6.8,7.7,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sim,9.9,10.0,Nível 5 (1o EM),0.0,2021
906,ALUNO-907,2.0,P,Escola Pública,Veterano,Quartzo,5.364,0.0,3.8,7.5,3.1,7.3,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.6,10.0,Nível 2 (5o e 6o ano),0.0,2021
908,ALUNO-909,2.0,H,Escola Pública,Veterano,Ágata,6.082,9.5,5.4,7.5,3.1,7.3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.2,5.0,Nível 3 (7o e 8o ano),-1.0,2021
909,ALUNO-910,6.0,C,Escola Pública,Veterano,Ágata,6.772,8.8,7.8,7.5,5.0,7.5,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,6.7,5.0,Nível 7 (3o EM),-1.0,2021
910,ALUNO-911,4.0,A,Escola Pública,Veterano,Ágata,6.239,6.7,6.9,5.0,5.1,7.5,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não,7.0,5.0,Nível 6 (2o EM),-2.0,2021
913,ALUNO-914,2.0,C,Escola Pública,Ingressante,Quartzo,5.061,0.0,2.9,7.5,4.6,7.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.7,5.0,Nível 3 (7o e 8o ano),-1.0,2021
915,ALUNO-916,4.0,G,Rede Decisão,Veterano,Topázio,8.866,8.3,9.7,7.5,7.8,9.2,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim,9.3,10.0,Nível 4 (9o ano),0.0,2021
