,NOME,FASE,TURMA,INSTITUICAO_ENSINO_ALUNO,SINALIZADOR_INGRESSANTE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPP,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,PONTO_VIRADA,IPV,IAN,NIVEL_IDEAL,DEFASAGEM,ANO
1022,ALUNO-1023,0.0,O,Escola Pública,Ingressante,Ametista,7.896,9.0,10.0,7.5,5.8,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Sim,9.2,5.0,Nível 1 (4o ano),-1.0,2021
1025,ALUNO-1026,3.0,B,Escola Pública,Ingressante,Ametista,7.008,9.6,6.1,7.5,5.6,7.1,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.2,10.0,Nível 3 (7o e 8o ano),0.0,2021
1026,ALUNO-1027,6.0,C,Rede Decisão,Veterano,Ágata,5.672,7.5,3.9,0.0,6.8,7.1,Mantido na Fase atual,Promovido de Fase,Não avaliado,Promovido de Fase,Não,5.4,10.0,Nível 6 (2o EM),0.0,2021
1027,ALUNO-1028,2.0,D,Escola Pública,Veterano,Ametista,6.917,8.4,5.4,7.5,7.1,7.5,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,7.8,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1028,ALUNO-1029,2.0,P,Escola Pública,Veterano,Topázio,8.782,9.0,7.9,7.5,8.4,9.2,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Sim,9.7,10.0,Nível 2 (5o e 6o ano),0.0,2021
1030,ALUNO-1031,1.0,B,Escola Pública,Veterano,Topázio,8.863,9.5,10.0,7.5,8.1,7.5,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Sim,9.0,10.0,Nível 1 (4o ano),0.0,2021
1031,ALUNO-1032,1.0,R,Escola Pública,Ingressante,Ametista,7.451,10.0,8.3,7.5,5.1,8.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.3,5.0,Nível 3 (7o e 8o ano),-2.0,2021
1033,ALUNO-1034,2.0,M,Escola Pública,Veterano,Ametista,7.679,8.0,9.2,7.5,5.8,8.3,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,Sim,9.0,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1034,ALUNO-1035,1.0,C,Escola Pública,Veterano,Ametista,7.718,9.5,7.9,6.9,6.0,8.8,Promovido de Fase,Mantido na Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.6,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1037,ALUNO-1038,4.0,F,Escola Pública,Ingressante,Ágata,6.619,8.3,6.1,0.0,6.5,8.0,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não,7.3,10.0,Nível 4 (9o ano),0.0,2021
1042,ALUNO-1043,0.0,M,Escola Pública,Ingressante,Topázio,8.367,9.5,10.0,7.5,6.8,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.8,10.0,ALFA  (2o e 3o ano),0.0,2021
1043,ALUNO-1044,0.0,L,Escola Pública,Ingressante,Topázio,8.25,9.0,10.0,7.5,5.5,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.8,10.0,ALFA  (2o e 3o ano),0.0,2021
1048,ALUNO-1049,1.0,R,Escola Pública,Ingressante,Ametista,7.457,7.9,8.8,7.5,6.0,8.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.1,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1049,ALUNO-1050,0.0,R,Escola Pública,Ingressante,Topázio,8.788,10.0,10.0,7.5,6.9,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Sim,9.5,10.0,ALFA  (2o e 3o ano),0.0,2021
1050,ALUNO-1051,3.0,F,Escola Pública,Veterano,Quartzo,3.599,0.0,1.7,7.5,1.3,6.9,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,2.9,10.0,Nível 3 (7o e 8o ano),0.0,2021
1054,ALUNO-1055,3.0,F,Escola Pública,Ingressante,Ágata,6.421,7.5,4.7,5.0,4.7,7.7,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Não,7.6,10.0,Nível 3 (7o e 8o ano),0.0,2021
1056,ALUNO-1057,3.0,L,Escola Pública,Ingressante,Ametista,7.494,8.3,5.6,7.5,5.8,8.3,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.0,10.0,Nível 3 (7o e 8o ano),0.0,2021
1062,ALUNO-1063,0.0,S,Escola Pública,Ingressante,Quartzo,4.9,9.5,0.0,7.5,2.3,7.5,Não avaliado,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.5,5.0,Nível 1 (4o ano),-1.0,2021
1063,ALUNO-1064,0.0,N,Escola Pública,Ingressante,Ágata,6.817,10.0,10.0,0.0,6.3,5.0,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.8,5.0,Nível 2 (5o e 6o ano),-2.0,2021
1064,ALUNO-1065,0.0,R,Escola Pública,Ingressante,Ametista,8.0,9.5,10.0,7.5,7.0,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.3,5.0,Nível 1 (4o ano),-1.0,2021
1065,ALUNO-1066,3.0,M,Escola Pública,Ingressante,Ágata,6.54,6.7,4.7,7.5,5.8,7.3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.5,10.0,Nível 3 (7o e 8o ano),0.0,2021
1066,ALUNO-1067,1.0,E,Escola Pública,Veterano,Topázio,8.544,9.5,10.0,7.5,8.1,8.8,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Sim,9.2,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1067,ALUNO-1068,6.0,A,Escola Pública,Ingressante,Ametista,7.501,9.2,8.6,7.5,6.8,8.1,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,7.2,5.0,Nível 7 (3o EM),-1.0,2021
1069,ALUNO-1070,1.0,E,Escola Pública,Veterano,Ametista,7.758,9.5,9.6,7.5,5.4,8.3,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.7,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1070,ALUNO-1071,2.0,A,Escola Pública,Ingressante,Ametista,7.194,9.5,7.1,7.5,5.7,7.3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.6,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1071,ALUNO-1072,3.0,C,Escola Pública,Veterano,Ametista,7.033,9.2,5.3,7.5,4.6,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.2,10.0,Nível 3 (7o e 8o ano),0.0,2021
1072,ALUNO-1073,1.0,B,Escola Pública,Ingressante,Ametista,6.914,8.5,8.3,7.5,5.4,7.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.6,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1074,ALUNO-1075,5.0,A,Rede Decisão,Veterano,Ametista,7.859,7.5,7.2,7.5,6.3,7.8,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Sim,9.4,10.0,Nível 5 (1o EM),0.0,2021
1077,ALUNO-1078,2.0,R,Escola Pública,Veterano,Quartzo,4.45,9.0,1.7,8.1,0.0,7.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.7,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1082,ALUNO-1083,2.0,E,Escola Pública,Ingressante,Quartzo,3.498,0.0,2.9,5.0,0.0,7.8,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,5.7,5.0,Nível 4 (9o ano),-2.0,2021
1083,ALUNO-1084,1.0,F,Escola Pública,Veterano,Ametista,7.954,8.0,9.6,6.9,5.6,7.9,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.2,10.0,Nível 1 (4o ano),0.0,2021
1084,ALUNO-1085,4.0,L,Escola Pública,Ingressante,Ágata,6.234,8.8,7.5,7.5,3.9,7.3,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,5.5,5.0,Nível 5 (1o EM),-1.0,2021
1085,ALUNO-1086,0.0,O,Escola Pública,Ingressante,Ametista,7.746,7.9,10.0,7.5,6.2,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.6,5.0,Nível 2 (5o e 6o ano),-2.0,2021
1086,ALUNO-1087,2.0,M,Escola Pública,Veterano,Ametista,7.329,8.5,8.8,7.5,5.0,8.1,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.3,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1088,ALUNO-1089,1.0,G,Escola Pública,Veterano,Ágata,5.653,9.0,2.9,7.5,3.6,7.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.2,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1089,ALUNO-1090,1.0,M,Escola Pública,Veterano,Ametista,7.179,8.5,8.8,7.5,3.7,7.9,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Sim,9.0,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1092,ALUNO-1093,6.0,A,Rede Decisão,Veterano,Ametista,7.225,7.9,7.2,7.5,5.4,8.0,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,6.8,10.0,Nível 3 (7o e 8o ano),3.0,2021
1094,ALUNO-1095,1.0,C,Escola Pública,Veterano,Topázio,9.294,10.0,9.2,8.1,8.9,9.2,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.7,10.0,ALFA  (2o e 3o ano),1.0,2021
1095,ALUNO-1096,3.0,B,Rede Decisão,Veterano,Topázio,8.814,10.0,8.9,7.5,7.5,8.3,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.7,10.0,Nível 3 (7o e 8o ano),0.0,2021
1097,ALUNO-1098,0.0,L,Escola Pública,Ingressante,Topázio,8.313,10.0,10.0,7.5,5.3,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.8,10.0,ALFA  (2o e 3o ano),0.0,2021
1098,ALUNO-1099,1.0,F,Escola Pública,Ingressante,Topázio,8.331,10.0,9.6,6.3,5.9,8.1,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.9,10.0,Nível 1 (4o ano),0.0,2021
1102,ALUNO-1103,2.0,G,Escola Pública,Veterano,Quartzo,4.0,0.0,2.9,5.6,3.3,6.0,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,5.5,5.0,Nível 4 (9o ano),-2.0,2021
1103,ALUNO-1104,1.0,N,Escola Pública,Ingressante,Ametista,6.889,9.5,7.9,7.5,3.6,7.9,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.9,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1104,ALUNO-1105,2.0,D,Escola Pública,Veterano,Ágata,6.621,9.5,6.3,6.3,5.5,7.3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.3,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1106,ALUNO-1107,2.0,B,Escola Pública,Ingressante,Ametista,8.217,10.0,9.6,7.5,8.0,7.5,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.5,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1109,ALUNO-1110,2.0,A,Escola Pública,Veterano,Ágata,6.871,9.0,5.4,7.5,5.1,6.5,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.3,10.0,Nível 2 (5o e 6o ano),0.0,2021
1111,ALUNO-1112,7.0,A,Rede Decisão,Veterano,Ametista,7.242,8.3,7.2,6.3,6.5,7.8,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não,6.3,10.0,Nível 7 (3o EM),0.0,2021
1113,ALUNO-1114,3.0,M,Escola Pública,Ingressante,Ágata,6.376,7.5,4.4,7.5,6.5,6.9,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.0,10.0,Nível 3 (7o e 8o ano),0.0,2021
1114,ALUNO-1115,1.0,E,Escola Pública,Ingressante,Quartzo,3.638,0.0,1.7,6.9,0.4,7.1,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.7,5.0,Nível 3 (7o e 8o ano),-2.0,2021
1116,ALUNO-1117,0.0,N,Escola Pública,Ingressante,Ametista,7.129,9.5,8.3,0.0,6.8,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.0,10.0,ALFA  (2o e 3o ano),0.0,2021
1118,ALUNO-1119,2.0,A,Escola Pública,Veterano,Ametista,7.383,10.0,5.8,7.5,5.6,7.1,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.2,10.0,Nível 1 (4o ano),1.0,2021
1121,ALUNO-1122,4.0,L,Escola Pública,Ingressante,Ametista,7.906,8.8,5.8,7.5,8.4,7.8,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Não,8.3,10.0,Nível 4 (9o ano),0.0,2021
1122,ALUNO-1123,4.0,G,Rede Decisão,Ingressante,Ametista,7.634,7.5,8.6,6.3,7.5,8.3,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não,8.5,5.0,Nível 6 (2o EM),-2.0,2021
1123,ALUNO-1124,4.0,F,Escola Pública,Ingressante,Ametista,7.264,7.9,8.6,5.6,6.0,8.1,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não,8.4,5.0,Nível 6 (2o EM),-2.0,2021
1125,ALUNO-1126,3.0,G,Escola Pública,Ingressante,Quartzo,5.047,7.1,3.3,7.5,4.0,6.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,4.8,5.0,Nível 4 (9o ano),-1.0,2021
1126,ALUNO-1127,3.0,A,Rede Decisão,Veterano,Ametista,7.547,9.2,7.8,6.3,5.5,7.9,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Não,7.8,10.0,Nível 3 (7o e 8o ano),0.0,2021
1127,ALUNO-1128,4.0,F,Rede Decisão,Veterano,Ametista,7.961,9.2,8.9,5.0,8.1,8.8,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não,8.9,5.0,Nível 5 (1o EM),-1.0,2021
1128,ALUNO-1129,2.0,I,Escola Pública,Veterano,Ametista,7.261,6.8,7.9,6.9,4.6,7.7,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.1,10.0,Nível 2 (5o e 6o ano),0.0,2021
1129,ALUNO-1130,2.0,N,Rede Decisão,Veterano,Topázio,9.107,10.0,10.0,7.5,9.5,9.8,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não avaliado,Sim,9.9,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1130,ALUNO-1131,3.0,M,Escola Pública,Veterano,Ágata,5.774,7.1,5.6,7.5,4.1,6.9,Mantido na Fase atual,Alocado em Fase anterior,Mantido na Fase atual,Não avaliado,Não,6.0,5.0,Nível 4 (9o ano),-1.0,2021
1131,ALUNO-1132,7.0,A,Rede Decisão,Veterano,Ametista,7.584,7.1,8.6,7.5,8.0,8.3,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não,7.4,5.0,Nível 8 (Universitários),-1.0,2021
1135,ALUNO-1136,4.0,E,Escola Pública,Veterano,Topázio,8.292,8.8,9.2,7.5,8.2,8.8,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Sim,9.1,5.0,Nível 5 (1o EM),-1.0,2021
1138,ALUNO-1139,3.0,C,Escola Pública,Veterano,Ágata,6.497,8.8,5.8,7.5,5.0,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.3,5.0,Nível 4 (9o ano),-1.0,2021
1139,ALUNO-1140,5.0,B,Escola Pública,Ingressante,Ágata,6.545,7.5,6.1,7.5,5.5,7.8,Promovido de Fase + Bolsa,Alocado em Fase anterior,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,7.2,5.0,Nível 7 (3o EM),-2.0,2021
1140,ALUNO-1141,2.0,P,Escola Pública,Veterano,Ametista,6.969,7.4,5.0,7.5,6.9,8.1,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.9,5.0,Nível 4 (9o ano),-2.0,2021
1142,ALUNO-1143,0.0,O,Escola Pública,Ingressante,Ametista,7.154,8.5,10.0,3.8,6.3,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.1,5.0,Nível 1 (4o ano),-1.0,2021
1145,ALUNO-1146,3.0,A,Escola Pública,Ingressante,Ametista,7.775,9.6,7.2,7.5,6.1,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.3,10.0,Nível 3 (7o e 8o ano),0.0,2021
1146,ALUNO-1147,5.0,L,Escola Pública,Ingressante,Ametista,8.181,9.6,8.1,7.5,8.9,8.8,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não,8.6,5.0,Nível 6 (2o EM),-1.0,2021
1148,ALUNO-1149,0.0,P,Escola Pública,Veterano,Ágata,5.825,9.0,4.2,7.5,5.4,5.0,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.3,5.0,Nível 2 (5o e 6o ano),-2.0,2021
1149,ALUNO-1150,1.0,G,Escola Pública,Veterano,Ametista,7.318,8.0,8.8,7.5,5.8,8.3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.6,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1150,ALUNO-1151,3.0,L,Escola Pública,Ingressante,Ágata,5.931,0.0,5.3,7.5,7.8,7.9,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,6.3,5.0,Nível 4 (9o ano),-1.0,2021
1154,ALUNO-1155,0.0,R,Escola Pública,Ingressante,Topázio,9.048,9.5,10.0,7.5,7.7,8.4,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Não avaliado,Sim,9.8,10.0,ALFA  (2o e 3o ano),0.0,2021
1155,ALUNO-1156,4.0,A,Escola Pública,Ingressante,Ágata,6.73,8.8,5.3,5.6,6.5,7.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não,6.2,10.0,Nível 4 (9o ano),0.0,2021
1156,ALUNO-1157,0.0,R,Escola Pública,Ingressante,Ametista,7.629,7.5,6.7,7.5,7.1,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.2,10.0,ALFA  (2o e 3o ano),0.0,2021
1158,ALUNO-1159,5.0,L,Rede Decisão,Veterano,Ametista,8.014,8.8,8.3,7.5,8.6,8.3,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,8.4,5.0,Nível 6 (2o EM),-1.0,2021
1159,ALUNO-1160,4.0,A,Escola Pública,Ingressante,Ametista,7.13,7.9,5.8,7.5,5.8,8.0,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Não,7.4,10.0,Nível 4 (9o ano),0.0,2021
1160,ALUNO-1161,3.0,L,Escola Pública,Veterano,Ágata,6.458,7.9,6.1,3.8,6.9,5.8,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.1,5.0,Nível 5 (1o EM),-2.0,2021
1163,ALUNO-1164,0.0,S,Escola Pública,Ingressante,Ágata,6.571,9.0,5.0,7.5,6.2,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.2,5.0,Nível 1 (4o ano),-1.0,2021
1164,ALUNO-1165,3.0,F,Escola Pública,Veterano,Ametista,7.765,7.9,8.6,7.5,7.2,7.7,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Não,8.9,5.0,Nível 4 (9o ano),-1.0,2021
1165,ALUNO-1166,2.0,E,Escola Pública,Veterano,Quartzo,3.979,0.0,2.1,6.9,3.5,5.4,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.7,5.0,Nível 4 (9o ano),-2.0,2021
1166,ALUNO-1167,2.0,G,Escola Pública,Veterano,Ágata,6.294,10.0,6.3,7.5,1.8,6.9,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.2,10.0,Nível 2 (5o e 6o ano),0.0,2021
1167,ALUNO-1168,1.0,M,Escola Pública,Veterano,Ametista,8.104,9.5,9.6,7.5,6.9,8.1,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Sim,9.0,5.0,Nível 3 (7o e 8o ano),-2.0,2021
1169,ALUNO-1170,1.0,E,Escola Pública,Veterano,Quartzo,4.275,9.5,1.3,8.1,0.0,7.3,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.2,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1170,ALUNO-1171,3.0,F,Rede Decisão,Veterano,Topázio,9.025,8.8,8.9,6.3,9.2,9.2,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.9,10.0,Nível 3 (7o e 8o ano),0.0,2021
1173,ALUNO-1174,6.0,C,Rede Decisão,Veterano,Ágata,6.775,8.3,7.2,3.8,6.0,6.7,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não,6.3,10.0,Nível 6 (2o EM),0.0,2021
1174,ALUNO-1175,1.0,J,Escola Pública,Veterano,Ágata,5.915,8.0,6.3,7.5,2.2,8.4,Não avaliado,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,6.7,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1175,ALUNO-1176,5.0,B,Rede Decisão,Veterano,Ametista,8.003,9.2,6.9,8.1,8.5,8.4,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim,9.3,5.0,Nível 6 (2o EM),-1.0,2021
1180,ALUNO-1181,1.0,F,Escola Pública,Veterano,Ametista,7.961,9.0,9.6,5.6,7.6,8.1,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.7,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1181,ALUNO-1182,0.0,L,Escola Pública,Ingressante,Ametista,7.006,7.4,8.3,7.5,4.4,6.6,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.6,10.0,ALFA  (2o e 3o ano),0.0,2021
1182,ALUNO-1183,1.0,B,Escola Pública,Ingressante,Ametista,7.614,8.5,9.2,7.5,6.4,7.5,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.3,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1189,ALUNO-1190,2.0,M,Escola Pública,Veterano,Ametista,7.554,8.5,8.8,7.5,6.1,8.1,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Não,8.3,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1190,ALUNO-1191,3.0,A,Rede Decisão,Ingressante,Quartzo,4.615,7.5,2.5,4.4,1.9,7.1,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,4.2,10.0,Nível 3 (7o e 8o ano),0.0,2021
1194,ALUNO-1195,3.0,B,Escola Pública,Veterano,Topázio,8.322,9.2,8.6,7.5,7.4,7.9,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Não,8.3,10.0,Nível 3 (7o e 8o ano),0.0,2021
1195,ALUNO-1196,7.0,A,Escola Pública,Ingressante,Ametista,7.892,9.2,6.9,7.5,6.1,8.3,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não,9.0,10.0,ERRO,0.0,2021
1196,ALUNO-1197,7.0,A,Rede Decisão,Veterano,Ametista,8.04,8.3,8.3,7.5,7.8,7.8,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não,7.3,10.0,Nível 7 (3o EM),0.0,2021
1197,ALUNO-1198,2.0,J,Escola Pública,Veterano,Quartzo,4.814,9.5,3.3,5.0,2.4,6.7,Alocado em Fase anterior,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,5.3,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1198,ALUNO-1199,0.0,S,Escola Pública,Ingressante,Ametista,7.025,8.5,8.3,7.5,4.9,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.7,5.0,Nível 1 (4o ano),-1.0,2021
1200,ALUNO-1201,7.0,A,Rede Decisão,Veterano,Ametista,7.031,7.1,6.1,5.6,6.5,8.1,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não,7.1,10.0,Nível 7 (3o EM),0.0,2021
1203,ALUNO-1204,1.0,G,Escola Pública,Ingressante,Topázio,8.797,10.0,9.6,7.5,6.9,8.3,Promovido de Fase,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Sim,9.6,10.0,Nível 1 (4o ano),0.0,2021
1204,ALUNO-1205,2.0,A,Escola Pública,Veterano,Ametista,8.04,8.5,9.2,7.5,5.5,7.3,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.9,10.0,Nível 2 (5o e 6o ano),0.0,2021
1205,ALUNO-1206,0.0,T,Escola Pública,Ingressante,Topázio,8.871,8.5,10.0,7.5,7.6,8.1,Promovido de Fase,Promovido de Fase,Não avaliado,Não avaliado,Sim,9.7,10.0,ALFA  (2o e 3o ano),0.0,2021
1209,ALUNO-1210,0.0,L,Escola Pública,Ingressante,Topázio,8.25,8.0,10.0,7.5,6.8,7.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,8.0,10.0,ALFA  (2o e 3o ano),0.0,2021
1210,ALUNO-1211,0.0,L,Escola Pública,Ingressante,Ágata,6.748,8.4,6.7,7.5,4.8,6.6,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.1,10.0,ALFA  (2o e 3o ano),0.0,2021
