;NOME;INSTITUICAO_ENSINO_ALUNO;IDADE_ALUNO;ANOS_PM;PONTO_VIRADA;INDE;INDE_CONCEITO;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;IPP;IPV;IAN;ANO;FASE;TURMA
269;ALUNO-270;Escola Pública;11;3;Não;7.1900010000000005;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.66667;4.2;4.375;8.666666666666666;8.125;8.500003333333334;10.0;2020;3;C
272;ALUNO-273;Escola Pública;14;2;Não;4.386945333333334;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;4.4;7.5;0.0;7.291666666666667;4.388883333333333;2.5;2020;1;R
273;ALUNO-274;Escola Pública;16;2;Não;6.113055666666667;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.91667;5.6;7.5;3.6666666666666665;7.291666666666667;7.444443333333334;5.0;2020;5;A
274;ALUNO-275;Escola Pública;13;3;Não;6.399376666666667;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;5.2;7.5;4.333333333333333;6.09375;5.666665;10.0;2020;3;M
276;ALUNO-277;Escola Pública;12;2;Não;8.018889999999999;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;8.4;5.625;10.0;7.708333333333334;7.777773333333332;5.0;2020;1;E
277;ALUNO-278;Escola Pública;17;1;Não;8.240834333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.75001;9.6;9.375;7.333333333333333;8.749999999999998;8.333333333333334;5.0;2020;5;L
279;ALUNO-280;Escola Pública;10;2;Não;6.6462520000000005;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;6.2;5.0;6.5;6.5625;8.0;5.0;2020;1;F
283;ALUNO-284;Escola Pública;14;0;Não;7.901875833333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.91667;9.9;7.5;7.666666666666667;7.96875;7.7500025;5.0;2020;3;A
284;ALUNO-285;Escola Pública;11;0;Não;5.112502;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.50002;0.0;7.5;1.0;8.125;7.0;10.0;2020;2;D
285;ALUNO-286;Escola Pública;12;0;Não;6.956252;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;6.0;6.875;7.5;7.1875;7.75;5.0;2020;1;G
286;ALUNO-287;Escola Pública;11;1;Sim;8.302085;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.416679999999999;8.5;7.5;7.5;8.4375;8.833335;10.0;2020;2;H
287;ALUNO-288;Escola Pública;12;0;Não;6.840002;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;7.7;7.5;3.75;8.333333333333334;7.833333333333334;5.0;2020;2;C
291;ALUNO-292;Escola Pública;15;1;Sim;8.485558666666666;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;9.9;6.875;7.666666666666667;8.958333333333332;9.44445;5.0;2020;4;B
292;ALUNO-293;Escola Pública;14;1;Não;4.4162505;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.66667;1.3;4.375;0.0;7.1875;6.6666675;10.0;2020;5;F
294;ALUNO-295;Escola Pública;9;3;Não;7.586252;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.9;4.375;7.25;4.6875;7.75;10.0;2020;1;D
295;ALUNO-296;Escola Pública;10;0;Não;7.713335;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.9;7.5;5.0;7.5;7.666665;10.0;2020;2;B
296;ALUNO-297;Escola Pública;15;1;Não;7.201112;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.33334;8.7;4.375;6.0;8.125;8.38889;5.0;2020;3;J
297;ALUNO-298;Escola Pública;11;2;Não;6.3366690000000006;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;6.6;5.0;6.5;5.0;6.833335;5.0;2020;1;G
298;ALUNO-299;Estácio;19;4;;8.388334;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;5.83334;10.0;5.625;9.2;0.0;0.0;10.0;2020;8;A
299;ALUNO-300;UNISA;18;1;;6.776668000000001;C;Ágata;Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;9.16668;0.0;7.5;8.4;0.0;0.0;10.0;2020;8;A
300;ALUNO-301;Escola Pública;9;1;Não;8.848335333333335;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;9.2;7.5;9.5;7.916666666666668;7.833333333333333;10.0;2020;1;J
304;ALUNO-305;Rede Decisão/União;13;2;Não;7.361390666666666;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;8.3;7.5;6.5;6.458333333333334;8.277776666666666;5.0;2020;2;J
305;ALUNO-306;Escola Pública;17;1;Não;3.89146;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.66667;1.4;4.375;0.0;5.15625;4.95834;10.0;2020;7;B
308;ALUNO-309;Escola Pública;9;1;Não;8.200002000000001;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;6.5;7.5;10.0;7.5;7.75;10.0;2020;1;G
311;ALUNO-312;Escola Pública;11;1;Não;8.508890666666668;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;9.1;7.5;8.5;5.833333333333333;8.277776666666666;10.0;2020;2;J
312;ALUNO-313;Escola Pública;8;0;Não;7.900001;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.50002;10.0;7.5;6.5;7.5;6.749995;10.0;2020;0;F
314;ALUNO-315;Escola Pública;13;1;Sim;9.461114666666669;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.16668;10.0;9.375;8.666666666666666;8.958333333333332;9.8889;10.0;2020;4;A
315;ALUNO-316;Escola Pública;11;0;Não;6.427501;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.41668;7.7;7.5;0.0;8.125;7.916665;10.0;2020;2;M
317;ALUNO-318;Escola Pública;9;0;Não;8.300001000000002;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;10.0;7.5;10.0;7.5;6.999995;5.0;2020;0;B
318;ALUNO-319;Escola Pública;11;1;Não;7.1833350000000005;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.5;7.5;2.0;7.5;7.416665;10.0;2020;2;B
320;ALUNO-321;Escola Pública;16;1;Não;4.9156245;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;4.58334;2.0;7.5;2.0;6.40625;6.3333275;10.0;2020;6;A
322;ALUNO-323;Rede Decisão/União;11;4;Não;6.053335000000001;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;9.1;5.0;4.5;2.5;6.416665;5.0;2020;1;B
323;ALUNO-324;Escola Pública;16;1;Não;8.064375833333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75001;7.9;7.5;6.666666666666667;8.59375;8.333332500000001;10.0;2020;6;A
327;ALUNO-328;Escola Pública;14;0;Não;6.858541000000001;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;4.1;7.5;9.0;7.96875;7.20833;5.0;2020;3;M
328;ALUNO-329;Rede Decisão/União;17;3;Não;7.9835415;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;8.6;7.5;7.0;7.96875;7.6249975;10.0;2020;7;B
329;ALUNO-330;Escola Pública;10;3;Não;7.680002;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;7.9;7.5;8.5;7.5;8.0;5.0;2020;1;F
331;ALUNO-332;Escola Pública;12;1;Não;8.258057333333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;9.2;7.5;10.0;7.291666666666667;7.444443333333333;5.0;2020;1;H
334;ALUNO-335;Escola Pública;8;0;Não;7.470837;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;10.0;4.375;9.5;2.5;5.166675;10.0;2020;0;B
336;ALUNO-337;Rede Decisão/União;14;4;Sim;8.952223333333334;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;9.9;10.0;7.0;9.166666666666666;9.111113333333332;10.0;2020;5;B
337;ALUNO-338;Escola Pública;17;2;Não;5.9127081666666665;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;2.1;7.5;4.333333333333333;7.34375;6.5416625;10.0;2020;7;A
338;ALUNO-339;Escola Pública;14;2;Não;8.137224;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.16668;9.7;7.5;7.333333333333333;8.749999999999998;8.444446666666668;5.0;2020;3;C
339;ALUNO-340;Escola Pública;14;2;Não;7.595277333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.33334;9.4;7.5;7.0;8.541666666666666;6.888883333333333;5.0;2020;3;C
340;ALUNO-341;FIAP;19;2;;9.096668;A;Topázio;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;9.16668;10.0;7.5;9.2;0.0;0.0;10.0;2020;8;A
341;ALUNO-342;Rede Decisão/União;11;4;Não;8.133752000000001;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.2;5.625;8.0;5.3125;8.5;10.0;2020;2;B
342;ALUNO-343;Escola Pública;16;0;Sim;7.582500666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;8.1;7.5;8.0;8.125;9.000003333333334;2.5;2020;3;J
343;ALUNO-344;Escola Pública;16;1;Não;4.348541;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;0.0;3.8;5.0;0.0;6.71875;7.08333;10.0;2020;6;A
344;ALUNO-345;Escola Pública;8;1;Não;8.5;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;10.0;7.5;10.0;7.5;5.74999;10.0;2020;0;F
345;ALUNO-346;Escola Pública;8;1;Não;8.418752000000001;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.0;7.5;9.5;7.1875;7.75;10.0;2020;1;A
347;ALUNO-348;Escola Pública;9;1;Não;7.79167;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;10.0;6.25;9.5;2.5;7.83334;5.0;2020;0;D
348;ALUNO-349;Escola Pública;10;0;Sim;9.200004;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;10.0;7.5;10.0;10.0;10.00001;5.0;2020;0;C
352;ALUNO-353;Escola Pública;12;1;Não;7.165556666666667;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;8.3;6.25;6.0;7.916666666666668;6.944439999999998;5.0;2020;2;G
353;ALUNO-354;Escola Pública;15;4;Não;4.656042;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.16668;3.4;4.375;0.0;7.96875;6.624995;5.0;2020;4;F
354;ALUNO-355;Escola Pública;11;1;Não;6.407502000000001;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.50002;8.1;5.0;4.0;7.708333333333334;7.333333333333333;5.0;2020;1;N
358;ALUNO-359;Escola Pública;10;1;Não;8.175279333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;9.3;7.5;7.0;7.708333333333334;7.722219999999999;10.0;2020;2;F
360;ALUNO-361;Escola Pública;9;1;Não;5.668335;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;4.3;5.625;0.0;8.125;7.666665;10.0;2020;1;F
363;ALUNO-364;Escola Pública;9;1;Não;7.813335;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.9;4.375;7.5;5.625;7.166665;10.0;2020;1;B
364;ALUNO-365;Rede Decisão/União;15;3;Sim;8.396044333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.58335;9.6;5.0;6.666666666666667;8.59375;9.125005000000002;10.0;2020;5;G
366;ALUNO-367;Escola Pública;13;4;Não;8.325834666666669;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.16668;9.4;7.5;6.666666666666667;8.125;8.166666666666668;10.0;2020;3;F
367;ALUNO-368;UNISA;18;1;;8.695001000000001;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;8.75001;10.0;7.5;8.3;0.0;0.0;10.0;2020;8;A
369;ALUNO-370;Escola Pública;13;1;Sim;8.613335;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75001;9.9;7.5;6.5;8.75;9.166669999999998;10.0;2020;3;G
370;ALUNO-371;Rede Decisão/União;17;3;Não;7.379792666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;7.8;5.0;7.333333333333333;5.78125;7.41667;10.0;2020;7;B
371;ALUNO-372;Escola Pública;12;3;Não;6.816668000000001;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;8.0;5.0;6.0;7.5;6.83333;5.0;2020;2;E
372;ALUNO-373;Escola Pública;14;3;Não;6.216666833333334;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.75001;5.0;5.625;5.666666666666667;8.125;6.6666625;5.0;2020;3;M
374;ALUNO-375;Rede Decisão/União;10;4;Sim;9.33542;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.5;7.5;9.5;9.6875;9.58334;10.0;2020;2;B
376;ALUNO-377;Rede Decisão/União;11;3;Não;7.412223000000001;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.58335;6.7;4.375;6.0;8.541666666666666;8.111106666666666;10.0;2020;3;G
377;ALUNO-378;Rede Decisão/União;15;4;Não;7.969167;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;9.7;3.75;7.0;8.125;8.25;10.0;2020;5;G
378;ALUNO-379;Escola Pública;14;2;Não;5.6825;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;6.6;5.0;4.166666666666667;5.625;4.833323333333333;5.0;2020;3;H
379;ALUNO-380;FIAP;19;4;;5.3950000000000005;D;Quartzo;Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;0.0;0.0;4.375;8.8;0.0;0.0;10.0;2020;8;A
380;ALUNO-381;Escola Pública;9;1;Não;6.443336;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;9.8;2.5;8.5;2.5;4.16667;5.0;2020;0;D
381;ALUNO-382;FIAP;18;1;;8.848334000000001;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;8.33334;10.0;6.875;9.1;0.0;0.0;10.0;2020;8;A
382;ALUNO-383;Escola Pública;10;1;Não;7.918752;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;10.0;6.875;7.5;7.8125;7.5;5.0;2020;0;E
384;ALUNO-385;Escola Pública;14;0;Não;7.338057;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.75001;8.6;7.5;6.0;7.708333333333334;7.611113333333334;5.0;2020;3;R
386;ALUNO-387;Escola Pública;13;2;Não;6.289445333333333;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;5.6;4.375;6.0;6.875;7.222216666666665;5.0;2020;2;R
387;ALUNO-388;Escola Pública;12;2;Não;7.0419453333333335;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;8.8;7.5;5.5;6.875;7.222216666666665;5.0;2020;2;C
388;ALUNO-389;Escola Pública;16;0;Sim;8.404168666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.33334;9.0;7.5;9.333333333333334;8.541666666666666;9.000006666666666;5.0;2020;5;A
389;ALUNO-390;Escola Pública;15;1;Não;7.425278666666666;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;5.3;7.5;7.666666666666667;7.708333333333334;7.38889;10.0;2020;5;A
392;ALUNO-393;Escola Pública;11;3;Não;7.212501333333334;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;7.5;6.875;4.25;7.083333333333334;7.833329999999999;10.0;2020;2;F
393;ALUNO-394;Rede Decisão/União;15;4;Não;5.934999666666666;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;5.3;5.0;6.333333333333333;6.25;6.166665;5.0;2020;4;F
395;ALUNO-396;Escola Pública;15;1;Não;7.454722;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;9.1;7.5;8.0;8.125;6.11111;5.0;2020;4;A
